Symbol,Yahoo,Section,Yahoo Type,Yahoo Exchange,Stmt Price 2/28/26,Yahoo Last,DOD Price,DOD Price per 2/28 share,DOD Price as traded,F_dod_feb,F_after_feb,Splits since DOD,Method,Flag,high_1205,low_1205,mean_1205,high_1208,low_1208,mean_1208,nav_date,nav
RHHBY,RHHBY,Stocks,EQUITY,OQX,59.55,54.155,48.7725,48.7725,48.7725,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,48.81999969482422,48.13999938964844,48.47999954223633,49.34000015258789,48.790000915527344,49.06500053405762,,
ROKU,ROKU,Stocks,EQUITY,NMS,98.41,154.93,99.3225,99.3225,99.3225,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,101.29000091552734,92.87999725341797,97.08499908447266,102.8499984741211,100.2699966430664,101.55999755859375,,
RYCEY,RYCEY,Stocks,EQUITY,PNK,18.62,20.08,14.78,14.78,14.78,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,14.800000190734863,14.40999984741211,14.605000019073486,15.140000343322754,14.770000457763672,14.955000400543213,,
ROP,ROP,Stocks,EQUITY,NMS,349.73,394.83,447.295,447.295,447.295,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,449.70001220703125,443.9700012207031,446.8350067138672,449.760009765625,445.75,447.7550048828125,,
ROST,ROST,Stocks,EQUITY,NMS,205.64,228.14,177.735,177.735,177.735,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,177.94000244140625,176.02999877929688,176.98500061035156,179.4199981689453,177.5500030517578,178.48500061035156,,
SHEL,SHEL,Stocks,EQUITY,NYQ,83.51,95.12,73.3313,73.3313,73.3313,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,74.06500244140625,72.9800033569336,73.52250289916992,73.61000061035156,72.66999816894531,73.13999938964844,,
RYAAY,RYAAY,Stocks,EQUITY,NMS,67.49,54.77,66.23,66.23,66.23,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,66.16000366210938,65.12999725341797,65.64500045776367,67.63999938964844,65.98999786376953,66.81499862670898,,
SPGI,SPGI,Stocks,EQUITY,NYQ,441.88,430.04,469.0326,495.7675,495.7675,1.0,1.057,2026-07-01 1057:1000,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,474.6830749511719,467.8902587890625,471.2866668701172,470.46356201171875,463.0936584472656,466.7786102294922,,
SMCAY,SMCAY,Stocks,EQUITY,PNK,23.94,21.3,18.0237,18.0237,18.0237,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,18.174999237060547,17.399999618530273,17.78749942779541,18.969999313354492,17.549999237060547,18.25999927520752,,
SSEZY,SSEZY,Stocks,EQUITY,PNK,36.7,32.57,29.1825,29.1825,29.1825,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,29.809999465942383,28.989999771118164,29.399999618530273,29.139999389648438,28.790000915527344,28.96500015258789,,
SAFRY,SAFRY,Stocks,EQUITY,PNK,100.6,96.59,86.04,86.04,86.04,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,86.31999969482422,85.05999755859375,85.68999862670898,87.12999725341797,85.6500015258789,86.38999938964844,,
SAIA,SAIA,Stocks,EQUITY,NMS,405.39,356.465,332.4525,332.4525,332.4525,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,334.5,325.69000244140625,330.0950012207031,339.7900085449219,329.8299865722656,334.80999755859375,,
CRM,CRM,Stocks,EQUITY,NYQ,194.79,247.365,258.0,258.0,258.0,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,261.8800048828125,249.5,255.69000244140625,264.2799987792969,256.3399963378906,260.30999755859375,,
SBH,SBH,Stocks,EQUITY,NYQ,16.07,16.01,15.73,15.73,15.73,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,16.1299991607666,15.550000190734863,15.839999675750732,15.819999694824219,15.420000076293945,15.619999885559082,,
SAXPY,SAXPY,Stocks,EQUITY,PNK,22.12,22.43,23.11,23.11,23.11,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,23.200000762939453,23.010000228881836,23.105000495910645,23.190000534057617,23.040000915527344,23.11500072479248,,
SNDK,SNDK,Stocks,EQUITY,NMS,635.36,1797.325,223.79,223.79,223.79,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,229.4499969482422,211.25,220.3499984741211,238.86000061035156,215.60000610351562,227.2300033569336,,
SNY,SNY,Stocks,EQUITY,NMS,48.66,43.315,48.9675,48.9675,48.9675,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,49.72999954223633,49.20000076293945,49.46500015258789,48.720001220703125,48.220001220703125,48.470001220703125,,
SAP,SAP,Stocks,EQUITY,NYQ,201.53,210.07,246.3,246.3,246.3,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,250.2899932861328,246.50999450683594,248.39999389648438,245.77000427246094,242.6300048828125,244.20000457763672,,
SBGSY,SBGSY,Stocks,EQUITY,PNK,65.21,69.34,55.19,55.19,55.19,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,55.369998931884766,54.7599983215332,55.064998626708984,55.70000076293945,54.93000030517578,55.31500053405762,,
SCHW,SCHW,Stocks,EQUITY,NYQ,95.2,108.49,94.145,94.145,94.145,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,95.62000274658203,93.79000091552734,94.70500183105469,94.41999816894531,92.75,93.58499908447266,,
SE,SE,Stocks,EQUITY,NYQ,108.45,113.23,133.3488,133.3488,133.3488,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,138.11000061035156,133.7550048828125,135.93250274658203,134.5,127.02999877929688,130.76499938964844,,
SRE,SRE,Stocks,EQUITY,NYQ,96.27,85.875,89.83,89.83,89.83,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,91.12000274658203,89.7699966430664,90.44499969482422,90.58000183105469,87.8499984741211,89.21500015258789,,
NOW,NOW,Stocks,EQUITY,NYQ,108.01,133.41,171.096,171.096,855.48,5.0,1.0,2025-12-18 5:1,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,172.3000030517578,167.6020050048828,169.9510040283203,174.39599609375,170.08599853515625,172.24099731445312,,
SVNDY,SVNDY,Stocks,EQUITY,PNK,14.02,13.33,13.435,13.435,13.435,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,13.5,13.369999885559082,13.434999942779541,13.720000267028809,13.149999618530273,13.434999942779541,,
SHW,SHW,Stocks,EQUITY,NYQ,362.59,326.99,332.045,332.045,332.045,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,336.010009765625,332.44000244140625,334.2250061035156,333.0899963378906,326.6400146484375,329.86500549316406,,
SHECY,SHECY,Stocks,EQUITY,PNK,19.64,18.47,15.475,15.475,15.475,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,15.880000114440918,14.899999618530273,15.389999866485596,15.880000114440918,15.239999771118164,15.559999942779541,,
SHOP,SHOP,Stocks,EQUITY,NMS,120.73,134.398,160.5425,160.5425,160.5425,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,163.14999389648438,158.94000244140625,161.0449981689453,163.77000427246094,156.30999755859375,160.04000091552734,,
SIEGY,SIEGY,Stocks,EQUITY,PNK,145.59,157.76,136.3525,136.3525,136.3525,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,137.00999450683594,135.85000610351562,136.43000030517578,136.86000061035156,135.69000244140625,136.2750015258789,,
SMERY,SMERY,Stocks,EQUITY,OQX,196.526,34.46,27.396,136.98,136.98,1.0,5.0,2026-06-23 5:1,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,28.07200050354004,27.125999450683594,27.598999977111816,27.399999618530273,26.986000061035156,27.192999839782715,,
SMMNY,SMMNY,Stocks,EQUITY,PNK,24.85,22.58,25.14,25.14,25.14,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,25.309999465942383,24.90999984741211,25.109999656677246,25.280000686645508,25.059999465942383,25.170000076293945,,
SGAPY,SGAPY,Stocks,EQUITY,PNK,39.8,35.84,35.22,35.22,35.22,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,35.689998626708984,35.16999816894531,35.42999839782715,35.060001373291016,34.959999084472656,35.010000228881836,,
SWKS,SWKS,Stocks,EQUITY,NMS,59.58,74.92,69.3725,69.3725,69.3725,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,70.0999984741211,68.47000122070312,69.28499984741211,70.30999755859375,68.61000061035156,69.45999908447266,,
SNN,SNN,Stocks,EQUITY,NYQ,36.9,27.865,33.63,33.63,33.63,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,33.84000015258789,33.36000061035156,33.60000038146973,33.90999984741211,33.40999984741211,33.65999984741211,,
SNAP,SNAP,Stocks,EQUITY,NYQ,5.21,5.455,7.8905,7.8905,7.8905,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,8.0,7.699999809265137,7.849999904632568,8.039999961853027,7.822000026702881,7.930999994277954,,
SNOW,SNOW,Stocks,EQUITY,NYQ,168.41,337.16,228.88,228.88,228.88,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,234.0,225.60000610351562,229.8000030517578,231.5,224.4199981689453,227.95999908447266,,
SCGLY,SCGLY,Stocks,EQUITY,OID,17.39,17.16,14.5075,14.5075,14.5075,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,14.550000190734863,14.369999885559082,14.460000038146973,14.640000343322754,14.470000267028809,14.555000305175781,,
SMPNY,SMPNY,Stocks,EQUITY,PNK,19.79,21.59,15.965,15.965,15.965,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,16.149999618530273,15.609999656677246,15.87999963760376,16.110000610351562,15.989999771118164,16.050000190734863,,
SKHHY,SKHHY,Stocks,EQUITY,PNK,17.053,14.0,15.3125,15.3125,15.3125,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,15.899999618530273,14.75,15.324999809265137,15.350000381469727,15.25,15.300000190734863,,
SONY,SONY,Stocks,EQUITY,NYQ,23.06,23.52,27.865,27.865,27.865,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,28.170000076293945,27.959999084472656,28.0649995803833,27.799999237060547,27.530000686645508,27.664999961853027,,
SO,SO,Stocks,EQUITY,NYQ,97.38,89.215,86.5275,86.5275,86.5275,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,88.08999633789062,86.1500015258789,87.11999893188477,86.4000015258789,85.47000122070312,85.93500137329102,,
XYZ,XYZ,Stocks,EQUITY,NYQ,63.7,80.26,61.3075,61.3075,61.3075,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,62.369998931884766,60.72999954223633,61.54999923706055,61.709999084472656,60.41999816894531,61.064998626708984,,
SCBFY,SCBFY,Stocks,EQUITY,PNK,49.91,62.91,44.1807,44.1807,44.1807,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,44.310001373291016,43.862998962402344,44.08650016784668,44.439998626708984,44.11000061035156,44.27499961853027,,
SBUX,SBUX,Stocks,EQUITY,NMS,98.02,102.075,84.9875,84.9875,84.9875,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,86.51000213623047,84.80000305175781,85.65500259399414,85.5,83.13999938964844,84.31999969482422,,
STT,STT,Stocks,EQUITY,NYQ,128.62,194.105,122.9325,122.9325,122.9325,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,124.20999908447266,121.25,122.72999954223633,124.12000274658203,122.1500015258789,123.13500213623047,,
STM,STM,Stocks,EQUITY,NYQ,33.61,52.305,26.05,26.05,26.05,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,26.43000030517578,25.979999542236328,26.204999923706055,26.0,25.790000915527344,25.895000457763672,,
SYK,SYK,Stocks,EQUITY,NYQ,387.46,279.86,361.3575,361.3575,361.3575,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,368.239990234375,361.95001220703125,365.0950012207031,363.739990234375,351.5,357.6199951171875,,
SSUMY,SSUMY,Stocks,EQUITY,PNK,42.58,11.99,8.0463,32.1852,32.1852,1.0,4.0,2026-07-10 4:1,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,8.050000190734863,7.925000190734863,7.987500190734863,8.140000343322754,8.069999694824219,8.105000019073486,,
SMTOY,SMTOY,Stocks,EQUITY,PNK,66.18,6.91,5.5106,44.0848,44.0848,1.0,8.0,2026-07-02 8:1,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,5.56125020980835,5.385000228881836,5.473125219345093,5.577499866485596,5.518750190734863,5.5481250286102295,,
SMFG,SMFG,Stocks,EQUITY,NYQ,22.44,26.905,18.8975,18.8975,18.8975,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,19.1200008392334,18.93000030517578,19.02500057220459,18.860000610351562,18.68000030517578,18.770000457763672,,
SUHJY,SUHJY,Stocks,EQUITY,OID,18.54,15.33,12.7475,12.7475,12.7475,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,13.100000381469727,12.670000076293945,12.885000228881836,12.75,12.470000267028809,12.610000133514404,,
SZKMY,SZKMY,Stocks,EQUITY,PNK,60.24,51.54,60.1775,60.1775,60.1775,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,60.91999816894531,59.11000061035156,60.01499938964844,62.279998779296875,58.400001525878906,60.34000015258789,,
TJX,TJX,Stocks,EQUITY,NYQ,161.66,129.09,152.6325,152.6325,152.6325,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,153.33999633789062,149.9499969482422,151.6449966430664,154.44000244140625,152.8000030517578,153.62000274658203,,
TMUS,TMUS,Stocks,EQUITY,NMS,217.09,180.755,208.1675,208.1675,208.1675,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,211.6300048828125,207.6699981689453,209.6500015258789,209.6999969482422,203.6699981689453,206.68499755859375,,
TSM,TSM,Stocks,EQUITY,NYQ,374.58,440.685,298.3475,298.3475,298.3475,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,300.79998779296875,293.25,297.0249938964844,302.6199951171875,296.7200012207031,299.6699981689453,,
TAK,TAK,Stocks,EQUITY,NYQ,18.75,18.37,14.2325,14.2325,14.2325,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,14.329999923706055,14.15999984741211,14.244999885559082,14.270000457763672,14.170000076293945,14.220000267028809,,
TPR,TPR,Stocks,EQUITY,NYQ,155.47,118.27,116.24,116.24,116.24,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,116.43000030517578,114.55000305175781,115.4900016784668,118.47000122070312,115.51000213623047,116.9900016784668,,
TRGP,TRGP,Stocks,EQUITY,NYQ,235.8,294.48,180.0175,180.0175,180.0175,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,182.61000061035156,180.25,181.43000030517578,180.67999267578125,176.52999877929688,178.60499572753906,,
TCCPY,TCCPY,Stocks,,,5.8,,,,,1.0,1.0,,symbol not found on Yahoo,lookup failed,,,,,,,,
TGNA,TGNA,Stocks,,,,,,,,1.0,1.0,,symbol not found on Yahoo,lookup failed,,,,,,,,
SGI,SGI,Stocks,EQUITY,NYQ,89.51,70.76,91.6275,91.6275,91.6275,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,92.83999633789062,90.93000030517578,91.8849983215332,92.54000091552734,90.19999694824219,91.36999893188477,,
TCEHY,TCEHY,Stocks,EQUITY,PNK,65.7,55.32,77.2975,77.2975,77.2975,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,78.61000061035156,77.95999908447266,78.28499984741211,78.04000091552734,74.58000183105469,76.31000137329102,,
TSLA,TSLA,Stocks,EQUITY,NMS,402.51,366.16,448.8825,448.8825,448.8825,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,458.8699951171875,451.6600036621094,455.26499938964844,449.75,435.25,442.5,,
TEVA,TEVA,Stocks,EQUITY,NYQ,33.86,36.75,28.355,28.355,28.355,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,28.68000030517578,28.0,28.34000015258789,28.739999771118164,28.0,28.369999885559082,,
TXN,TXN,Stocks,EQUITY,NMS,212.11,257.63,182.155,182.155,182.155,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,184.75999450683594,180.6300048828125,182.69499969482422,183.6999969482422,179.52999877929688,181.61499786376953,,
TXT,TXT,Stocks,EQUITY,NYQ,98.65,79.385,83.375,83.375,83.375,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,83.54000091552734,82.2300033569336,82.88500213623047,84.6500015258789,83.08000183105469,83.8650016784668,,
THLLY,THLLY,Stocks,EQUITY,PNK,60.97,53.88,52.72,52.72,52.72,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,52.689998626708984,51.970001220703125,52.329999923706055,53.58000183105469,52.63999938964844,53.11000061035156,,
TMO,TMO,Stocks,EQUITY,NYQ,521.11,606.545,572.315,572.315,572.315,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,579.0900268554688,569.6199951171875,574.3550109863281,574.5399780273438,566.010009765625,570.2749938964844,,
TGOPY,TGOPY,Stocks,EQUITY,PNK,11.35,9.51,10.7032,10.7032,10.7032,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,10.9399995803833,10.680000305175781,10.809999942779541,10.663000106811523,10.529999732971191,10.596499919891357,,
MMM,MMM,Stocks,EQUITY,NYQ,165.32,167.04,165.7775,165.7775,165.7775,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,169.33999633789062,165.66000366210938,167.5,165.82000732421875,162.2899932861328,164.05500030517578,,
TKOMY,TKOMY,Stocks,EQUITY,PNK,41.46,51.11,35.7975,35.7975,35.7975,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,35.77000045776367,35.2400016784668,35.505001068115234,36.4900016784668,35.689998626708984,36.09000015258789,,
TOELY,TOELY,Stocks,EQUITY,PNK,141.37,176.45,105.76,105.76,105.76,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,107.9800033569336,103.9000015258789,105.94000244140625,106.77999877929688,104.37999725341797,105.57999801635742,,
TOL,TOL,Stocks,EQUITY,NYQ,157.24,137.72,139.1075,139.1075,139.1075,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,142.25,138.92999267578125,140.58999633789062,139.60000610351562,135.64999389648438,137.625,,
TM,TM,Stocks,EQUITY,NYQ,242.38,192.105,196.16,196.16,196.16,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,197.1999969482422,196.0,196.5999984741211,196.44000244140625,195.0,195.72000122070312,,
TW,TW,Stocks,EQUITY,NMS,123.255,103.42,106.73,106.73,106.73,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,107.9000015258789,106.55999755859375,107.22999954223633,107.5999984741211,104.86000061035156,106.22999954223633,,
TDG,TDG,Stocks,EQUITY,NYQ,1302.79,1147.87,1346.53,1346.53,1346.53,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,1359.1400146484375,1341.0899658203125,1350.114990234375,1353.1099853515625,1332.780029296875,1342.9450073242188,,
TRV,TRV,Stocks,EQUITY,NYQ,308.64,367.1,280.3875,280.3875,280.3875,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,282.92999267578125,279.6400146484375,281.2850036621094,281.4599914550781,277.5199890136719,279.489990234375,,
UGI,UGI,Stocks,EQUITY,NYQ,37.41,38.42,37.4575,37.4575,37.4575,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,37.7599983215332,37.13999938964844,37.44999885559082,37.849998474121094,37.08000183105469,37.46500015258789,,
USB,USB,Stocks,EQUITY,NYQ,54.66,62.85,51.5125,51.5125,51.5125,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,51.779998779296875,51.119998931884766,51.44999885559082,51.90999984741211,51.2400016784668,51.57500076293945,,
UCBJY,UCBJY,Stocks,EQUITY,PNK,149.07,120.39,144.905,144.905,144.905,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,148.85000610351562,142.5500030517578,145.70000457763672,144.9199981689453,143.3000030517578,144.11000061035156,,
UBER,UBER,Stocks,EQUITY,NYQ,75.42,73.375,91.69,91.69,91.69,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,92.75,90.45999908447266,91.60499954223633,92.77999877929688,90.7699966430664,91.77499771118164,,
ULTA,ULTA,Stocks,EQUITY,NMS,684.79,548.98,593.555,593.555,593.555,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,611.9000244140625,575.0,593.4500122070312,611.8400268554688,575.47998046875,593.6600036621094,,
UNCRY,UNCRY,Stocks,EQUITY,PNK,42.51,48.82,37.9195,37.9195,37.9195,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,38.33000183105469,37.75,38.040000915527344,37.928001403808594,37.66999816894531,37.79899978637695,,
UL,UL,Stocks,EQUITY,NYQ,73.75,63.565,64.6425,64.6425,57.4025,0.888,1.0,2025-12-09 888:1000,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,67.0608139038086,66.39639282226562,66.72860336303711,63.11936950683594,61.99324417114258,62.55630683898926,,
UAL,UAL,Stocks,EQUITY,NMS,106.3,109.41,104.425,104.425,104.425,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,105.62999725341797,103.04000091552734,104.33499908447266,105.37000274658203,103.66000366210938,104.5150032043457,,
UOVEY,UOVEY,Stocks,EQUITY,PNK,58.16,65.71,52.855,52.855,52.855,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,53.349998474121094,52.88999938964844,53.119998931884766,52.93000030517578,52.25,52.59000015258789,,
USFD,USFD,Stocks,EQUITY,NYQ,96.61,103.74,75.1525,75.1525,75.1525,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,75.81999969482422,74.91999816894531,75.36999893188477,75.36000061035156,74.51000213623047,74.93500137329102,,
UNH,UNH,Stocks,EQUITY,NYQ,293.27,401.45,329.0375,329.0375,329.0375,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,335.7099914550781,328.510009765625,332.11000061035156,329.1000061035156,322.8299865722656,325.9649963378906,,
UPMMY,UPMMY,Stocks,EQUITY,PNK,31.77,28.2,28.081,28.081,28.081,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,28.239999771118164,28.079999923706055,28.15999984741211,28.083999633789062,27.920000076293945,28.001999855041504,,
VLO,VLO,Stocks,EQUITY,NYQ,204.64,383.12,174.6025,174.6025,174.6025,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,178.10000610351562,174.0,176.0500030517578,175.5800018310547,170.72999572753906,173.15499877929688,,
VZ,VZ,Stocks,EQUITY,NYQ,50.14,50.305,41.4925,41.4925,41.4925,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,42.060001373291016,41.2400016784668,41.650001525878906,41.75,40.91999816894531,41.334999084472656,,
VRSK,VRSK,Stocks,EQUITY,NMS,207.57,177.077,220.2125,220.2125,220.2125,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,223.1999969482422,220.3800048828125,221.79000091552734,221.1300048828125,216.13999938964844,218.63500213623047,,
VRTX,VRTX,Stocks,EQUITY,NMS,496.83,529.07,453.3575,453.3575,453.3575,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,462.0,454.4599914550781,458.22999572753906,457.1700134277344,439.79998779296875,448.48500061035156,,
VRT,VRT,Stocks,EQUITY,NYQ,254.89,293.71,185.065,185.065,185.065,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,189.66000366210938,180.10000610351562,184.8800048828125,188.5,182.0,185.25,,
VWDRY,VWDRY,Stocks,EQUITY,PNK,8.45,11.3,8.3125,8.3125,8.3125,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,8.350000381469727,8.199999809265137,8.275000095367432,8.40999984741211,8.289999961853027,8.349999904632568,,
VTRS,VTRS,Stocks,EQUITY,NMS,14.93,16.655,11.0125,11.0125,11.0125,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,11.020000457763672,10.800000190734863,10.910000324249268,11.289999961853027,10.9399995803833,11.114999771118164,,
VKTX,VKTX,Stocks,EQUITY,NCM,33.84,33.85,38.215,38.215,38.215,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,39.47999954223633,38.04999923706055,38.76499938964844,39.08000183105469,36.25,37.665000915527344,,
VCISY,VCISY,Stocks,EQUITY,PNK,41.46,33.08,35.075,35.075,35.075,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,35.18000030517578,34.86000061035156,35.02000045776367,35.25,35.0099983215332,35.1299991607666,,
V,V,Stocks,EQUITY,NYQ,320.14,369.075,329.14,329.14,329.14,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,334.1099853515625,326.3999938964844,330.25498962402344,331.3399963378906,324.7099914550781,328.0249938964844,,
VLVLY,VLVLY,Stocks,EQUITY,PNK,38.85,36.06,31.47,31.47,31.47,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,31.600000381469727,31.3799991607666,31.489999771118164,31.530000686645508,31.3700008392334,31.450000762939453,,
WAB,WAB,Stocks,EQUITY,NYQ,263.95,285.34,213.6075,213.6075,213.6075,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,215.07000732421875,213.00999450683594,214.04000091552734,216.02999877929688,210.32000732421875,213.1750030517578,,
WMT,WMT,Stocks,EQUITY,NMS,127.95,105.995,114.56,114.56,114.56,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,116.2699966430664,114.68000030517578,115.4749984741211,114.98999786376953,112.30000305175781,113.64500045776367,,
WBD,WBD,Stocks,EQUITY,NMS,28.17,28.125,26.5225,26.5225,26.5225,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,26.100000381469727,24.979999542236328,25.539999961853027,28.170000076293945,26.84000015258789,27.505000114440918,,
WMG,WMG,Stocks,EQUITY,NMS,28.6,28.125,28.24,28.24,28.24,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,28.860000610351562,28.1200008392334,28.49000072479248,28.690000534057617,27.290000915527344,27.99000072479248,,
